immobile_threshold	collision_time
0.10000000	10.12686442
0.12000000	13.10652174
0.14000000	11.24135742
0.16000000	15.19761905
0.18000000	13.57050505
0.20000000	10.92478898
0.22000000	9.76716846
0.24000000	10.10457516
0.26000000	12.07404401
0.28000000	11.73339545
0.30000000	13.62518854
0.32000000	11.40564103
0.34000000	13.48706188
0.36000000	11.52922078
0.38000000	11.40429002
0.40000000	15.39984744
